approach,identity_group,birth_snapshot,last_snapshot,lifespan_snapshots,final_size,observation_ids,observation_count,events
cumulative,c01,1,10,10,238,CUM-C0101=CUM-C0201=CUM-C0301=CUM-C0401=CUM-C0501=CUM-C0601=CUM-C0701=CUM-C0801=CUM-C0901=CUM-C1001,10,CUM-E0017:split@s0->s1;CUM-E0018:merge@s0->s1;CUM-E0030:merge@s1->s2;CUM-E0040:continuation@s2->s3;CUM-E0054:continuation@s3->s4;CUM-E0064:continuation@s4->s5;CUM-E0075:continuation@s5->s6;CUM-E0086:continuation@s6->s7;CUM-E0099:split@s7->s8;CUM-E0107:merge@s7->s8;CUM-E0112:split@s8->s9;CUM-E0113:split@s8->s9;CUM-E0115:merge@s8->s9;CUM-E0126:split@s9->s10;CUM-E0127:merge@s9->s10
cumulative,c02,0,10,11,122,CUM-C0006=CUM-C0104=CUM-C0204=CUM-C0303=CUM-C0404=CUM-C0503=CUM-C0603=CUM-C0703=CUM-C0803=CUM-C0902=CUM-C1002,11,CUM-E0006:birth@s0;CUM-E0021:merge@s0->s1;CUM-E0031:continuation@s1->s2;CUM-E0042:continuation@s2->s3;CUM-E0057:continuation@s3->s4;CUM-E0066:continuation@s4->s5;CUM-E0077:continuation@s5->s6;CUM-E0088:continuation@s6->s7;CUM-E0101:continuation@s7->s8;CUM-E0116:continuation@s8->s9;CUM-E0128:continuation@s9->s10
cumulative,c03,0,10,11,118,CUM-C0008=CUM-C0103=CUM-C0202=CUM-C0304=CUM-C0403=CUM-C0502=CUM-C0602=CUM-C0702=CUM-C0802=CUM-C0903=CUM-C1003,11,CUM-E0008:birth@s0;CUM-E0020:merge@s0->s1;CUM-E0029:split@s1->s2;CUM-E0039:split@s2->s3;CUM-E0043:merge@s2->s3;CUM-E0056:merge@s3->s4;CUM-E0065:continuation@s4->s5;CUM-E0076:continuation@s5->s6;CUM-E0087:continuation@s6->s7;CUM-E0100:continuation@s7->s8;CUM-E0117:continuation@s8->s9;CUM-E0129:continuation@s9->s10
cumulative,c04,0,10,11,85,CUM-C0002=CUM-C0105=CUM-C0206=CUM-C0306=CUM-C0405=CUM-C0505=CUM-C0604=CUM-C0704=CUM-C0804=CUM-C0905=CUM-C1004,11,CUM-E0002:birth@s0;CUM-E0022:continuation@s0->s1;CUM-E0033:continuation@s1->s2;CUM-E0045:continuation@s2->s3;CUM-E0058:continuation@s3->s4;CUM-E0068:continuation@s4->s5;CUM-E0078:continuation@s5->s6;CUM-E0089:continuation@s6->s7;CUM-E0102:continuation@s7->s8;CUM-E0119:continuation@s8->s9;CUM-E0130:continuation@s9->s10
cumulative,c05,0,10,11,80,CUM-C0001=CUM-C0102=CUM-C0203=CUM-C0302=CUM-C0402=CUM-C0506=CUM-C0605=CUM-C0708=CUM-C0805=CUM-C0904=CUM-C1005,11,CUM-E0001:birth@s0;CUM-E0019:merge@s0->s1;CUM-E0028:split@s1->s2;CUM-E0041:continuation@s2->s3;CUM-E0055:merge@s3->s4;CUM-E0063:split@s4->s5;CUM-E0067:merge@s4->s5;CUM-E0079:continuation@s5->s6;CUM-E0093:continuation@s6->s7;CUM-E0103:continuation@s7->s8;CUM-E0118:continuation@s8->s9;CUM-E0131:continuation@s9->s10
cumulative,c06,1,10,10,76,CUM-C0111=CUM-C0211=CUM-C0310=CUM-C0406=CUM-C0508=CUM-C0607=CUM-C0705=CUM-C0806=CUM-C0906=CUM-C1006,10,CUM-E0016:split@s0->s1;CUM-E0038:continuation@s1->s2;CUM-E0049:continuation@s2->s3;CUM-E0053:split@s3->s4;CUM-E0059:merge@s3->s4;CUM-E0070:continuation@s4->s5;CUM-E0081:continuation@s5->s6;CUM-E0090:continuation@s6->s7;CUM-E0104:continuation@s7->s8;CUM-E0120:continuation@s8->s9;CUM-E0132:continuation@s9->s10
cumulative,c07,5,10,6,69,CUM-C0504=CUM-C0608=CUM-C0707=CUM-C0808=CUM-C0907=CUM-C1007,6,CUM-E0063:split@s4->s5;CUM-E0067:merge@s4->s5;CUM-E0074:split@s5->s6;CUM-E0092:continuation@s6->s7;CUM-E0106:continuation@s7->s8;CUM-E0121:continuation@s8->s9;CUM-E0133:continuation@s9->s10
cumulative,c08,0,10,11,56,CUM-C0009=CUM-C0107=CUM-C0209=CUM-C0309=CUM-C0408=CUM-C0509=CUM-C0609=CUM-C0709=CUM-C0810=CUM-C0908=CUM-C1008,11,CUM-E0009:birth@s0;CUM-E0023:continuation@s0->s1;CUM-E0036:continuation@s1->s2;CUM-E0048:continuation@s2->s3;CUM-E0061:continuation@s3->s4;CUM-E0071:continuation@s4->s5;CUM-E0082:continuation@s5->s6;CUM-E0094:continuation@s6->s7;CUM-E0108:continuation@s7->s8;CUM-E0122:continuation@s8->s9;CUM-E0134:continuation@s9->s10
cumulative,c09,0,10,11,33,CUM-C0012=CUM-C0112=CUM-C0210=CUM-C0311=CUM-C0409=CUM-C0510=CUM-C0610=CUM-C0710=CUM-C0809=CUM-C0909=CUM-C1009,11,CUM-E0012:birth@s0;CUM-E0026:continuation@s0->s1;CUM-E0037:continuation@s1->s2;CUM-E0050:continuation@s2->s3;CUM-E0062:continuation@s3->s4;CUM-E0072:continuation@s4->s5;CUM-E0083:continuation@s5->s6;CUM-E0095:continuation@s6->s7;CUM-E0099:split@s7->s8;CUM-E0107:merge@s7->s8;CUM-E0114:split@s8->s9;CUM-E0135:continuation@s9->s10
cumulative,c10,6,10,5,30,CUM-C0612=CUM-C0711=CUM-C0812=CUM-C0912=CUM-C1010,5,CUM-E0074:split@s5->s6;CUM-E0096:continuation@s6->s7;CUM-E0110:continuation@s7->s8;CUM-E0123:continuation@s8->s9;CUM-E0136:continuation@s9->s10
